country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Iceland,2013,female,25-34 years,3,22445,13.37,Iceland2013,0.899,"15,548,321,544",51749,Millenials
Iceland,2014,male,25-34 years,9,23711,37.96,Iceland2014,0.899,"17,304,033,021",56833,Millenials
Iceland,2014,female,25-34 years,2,22708,8.81,Iceland2014,0.899,"17,304,033,021",56833,Millenials
Iceland,2015,male,25-34 years,6,24128,24.87,Iceland2015,,"16,942,247,374",54909,Millenials
Iceland,2015,female,25-34 years,1,22913,4.36,Iceland2015,,"16,942,247,374",54909,Millenials
Iceland,2016,male,25-34 years,8,25029,31.96,Iceland2016,,"20,304,098,101",64708,Millenials
Iceland,2016,female,25-34 years,2,23233,8.61,Iceland2016,,"20,304,098,101",64708,Millenials
Netherlands,2000,male,25-34 years,162,1251135,12.95,Netherlands2000,0.877,"412,807,259,996",27644,Generation X
Netherlands,2000,female,25-34 years,67,1212404,5.53,Netherlands2000,0.877,"412,807,259,996",27644,Generation X
Netherlands,2001,male,25-34 years,183,1222239,14.97,Netherlands2001,,"426,573,601,790",28366,Generation X
Netherlands,2001,female,25-34 years,61,1188832,5.13,Netherlands2001,,"426,573,601,790",28366,Generation X
Netherlands,2002,male,25-34 years,179,1,15.02,Netherlands2002,,"465,368,906,456",30757,Generation X
Netherlands,2002,female,25-34 years,57,1164180,4.9,Netherlands2002,,"465,368,906,456",30757,Generation X
Netherlands,2003,male,25-34 years,165,1157639,14.25,Netherlands2003,,"571,863,431,151",37614,Generation X
Netherlands,2003,female,25-34 years,48,1137043,4.22,Netherlands2003,,"571,863,431,151",37614,Generation X
Netherlands,2004,male,25-34 years,141,1118373,12.61,Netherlands2004,,"650,532,654,582",42614,Generation X
Netherlands,2004,female,25-34 years,42,1105273,3.8,Netherlands2004,,"650,532,654,582",42614,Generation X
Netherlands,2005,male,25-34 years,144,1078642,13.35,Netherlands2005,0.891,"678,533,764,457",44289,Generation X
Netherlands,2005,female,25-34 years,55,107,5.13,Netherlands2005,0.891,"678,533,764,457",44289,Generation X
Netherlands,2006,male,25-34 years,143,1044859,13.69,Netherlands2006,,"726,649,102,998",47281,Generation X
Netherlands,2006,female,25-34 years,51,1042374,4.89,Netherlands2006,,"726,649,102,998",47281,Generation X
Netherlands,2007,male,25-34 years,114,1018680,11,Netherlands2007,,"8,394",54418,Generation X
Netherlands,2007,female,25-34 years,48,1017477,4.72,Netherlands2007,,"8,394",54418,Generation X
Netherlands,2008,male,25-34 years,1,1005566,11.83,Netherlands2008,,"936,228,211,513",60375,Generation X
Netherlands,2008,female,25-34 years,41,100,4.09,Netherlands2008,,"936,228,211,513",60375,Generation X
Netherlands,2009,male,25-34 years,115,1003333,11.46,Netherlands2009,,"857,932,759,100",54988,Generation X
Netherlands,2009,female,25-34 years,48,996321,4.82,Netherlands2009,,"857,932,759,100",54988,Generation X
Netherlands,2010,male,25-34 years,115,1005583,11.44,Netherlands2010,0.909,"836,389,937,229",53302,Generation X
Netherlands,2010,female,25-34 years,53,997025,5.32,Netherlands2010,0.909,"836,389,937,229",53302,Generation X
Netherlands,2011,male,25-34 years,138,1010996,13.65,Netherlands2011,0.9,"893,757,287,202",56667,Millenials
Netherlands,2011,female,25-34 years,63,1002441,6.28,Netherlands2011,0.9,"893,757,287,202",56667,Millenials
Netherlands,2012,male,25-34 years,143,1017789,14.05,Netherlands2012,0.92,"828,946,812,397",52334,Millenials
Netherlands,2012,female,25-34 years,58,1008927,5.75,Netherlands2012,0.92,"828,946,812,397",52334,Millenials
Netherlands,2013,male,25-34 years,137,1024168,13.38,Netherlands2013,0.92,"866,680,000,367",54510,Millenials
Netherlands,2013,female,25-34 years,46,1014090,4.54,Netherlands2013,0.92,"866,680,000,367",54510,Millenials
Netherlands,2014,male,25-34 years,117,1024168,11.42,Netherlands2014,0.922,"879,635,084,125",55325,Millenials
Netherlands,2014,female,25-34 years,54,1014090,5.32,Netherlands2014,0.922,"879,635,084,125",55325,Millenials
Netherlands,2015,male,25-34 years,146,1045012,13.97,Netherlands2015,,"757,999,453,314",47206,Millenials
Netherlands,2015,female,25-34 years,65,1030867,6.31,Netherlands2015,,"757,999,453,314",47206,Millenials
Netherlands,2016,male,25-34 years,159,106,14.97,Netherlands2016,,"777,227,541,581",48108,Millenials
Netherlands,2016,female,25-34 years,65,1043372,6.23,Netherlands2016,,"777,227,541,581",48108,Millenials
New Zealand,2000,male,25-34 years,105,270430,38.83,New Zealand2000,0.874,"52,622,842,840",14725,Generation X
New Zealand,2000,female,25-34 years,21,290740,7.22,New Zealand2000,0.874,"52,622,842,840",14725,Generation X
New Zealand,2001,male,25-34 years,92,264130,34.83,New Zealand2001,,"53,872,425,917",14968,Generation X
New Zealand,2001,female,25-34 years,29,284680,10,New Zealand2001,,"53,872,425,917",14968,Generation X
New Zealand,2002,male,25-34 years,82,263160,31.16,New Zealand2002,,"66,627,729,311",18208,Generation X
New Zealand,2002,female,25-34 years,26,282330,9.21,New Zealand2002,,"66,627,729,311",18208,Generation X
New Zealand,2003,male,25-34 years,80,264090,30.29,New Zealand2003,,"88,250,885,550",23663,Generation X
New Zealand,2003,female,25-34 years,22,281770,7.81,New Zealand2003,,"88,250,885,550",23663,Generation X
New Zealand,2004,male,25-34 years,76,265490,28.63,New Zealand2004,,"103,904,537,815",27325,Generation X
New Zealand,2004,female,25-34 years,,285690,6.65,New Zealand2004,,"103,904,537,815",27325,Generation X
New Zealand,2005,male,25-34 years,86,264490,32.52,New Zealand2005,0.895,"114,718,721,397",29803,Generation X
New Zealand,2005,female,25-34 years,26,284850,9.13,New Zealand2005,0.895,"114,718,721,397",29803,Generation X
New Zealand,2006,male,25-34 years,72,263090,27.37,New Zealand2006,,"111,608,845,081",28628,Generation X
New Zealand,2006,female,25-34 years,28,283300,9.88,New Zealand2006,,"111,608,845,081",28628,Generation X
New Zealand,2007,male,25-34 years,80,262570,30.47,New Zealand2007,,"137,316,087,308",34892,Generation X
New Zealand,2007,female,25-34 years,14,281170,4.98,New Zealand2007,,"137,316,087,308",34892,Generation X
New Zealand,2008,male,25-34 years,70,263560,26.56,New Zealand2008,,"133,279,679,483",33585,Generation X
New Zealand,2008,female,25-34 years,18,280380,6.42,New Zealand2008,,"133,279,679,483",33585,Generation X
New Zealand,2009,male,25-34 years,64,267390,23.94,New Zealand2009,,"121,338,622,025",30259,Generation X
New Zealand,2009,female,25-34 years,20,28,7.09,New Zealand2009,,"121,338,622,025",30259,Generation X
New Zealand,2010,male,25-34 years,65,272460,23.86,New Zealand2010,0.905,"146,583,831,538",36145,Generation X
New Zealand,2010,female,25-34 years,30,285250,10.52,New Zealand2010,0.905,"146,583,831,538",36145,Generation X
New Zealand,2011,male,25-34 years,70,277600,25.22,New Zealand2011,0.907,"16,846",41184,Millenials
New Zealand,2011,female,25-34 years,,288510,6.59,New Zealand2011,0.907,"16,846",41184,Millenials
New Zealand,2012,male,25-34 years,60,283640,21.15,New Zealand2012,0.909,176,42756,Millenials
New Zealand,2012,female,25-34 years,22,291540,7.55,New Zealand2012,0.909,176,42756,Millenials
New Zealand,2013,male,25-34 years,51,264840,,New Zealand2013,0.911,,46,Millenials
New Zealand,2013,female,25-34 years,21,283720,7.4,New Zealand2013,0.911,,46,Millenials
Norway,2000,male,25-34 years,80,336252,23.79,Norway2000,0.917,"171,315,639,983",41099,Generation X
Norway,2000,female,25-34 years,27,323870,8.34,Norway2000,0.917,"171,315,639,983",41099,Generation X
Norway,2001,male,25-34 years,76,341767,22.24,Norway2001,,"174,003,247,439",41281,Generation X
Norway,2001,female,25-34 years,18,330804,5.44,Norway2001,,"174,003,247,439",41281,Generation X
Norway,2002,male,25-34 years,74,335566,22.05,Norway2002,,,46049,Generation X
Norway,2002,female,25-34 years,23,326338,7.05,Norway2002,,,46049,Generation X
Norway,2003,male,25-34 years,70,328978,21.28,Norway2003,,"228,752,436,372",53533,Generation X
Norway,2003,female,25-34 years,22,321320,6.85,Norway2003,,"228,752,436,372",53533,Generation X
Norway,2004,male,25-34 years,59,322017,18.32,Norway2004,,"264,357,494,659",61450,Generation X
Norway,2004,female,25-34 years,20,315751,6.33,Norway2004,,"264,357,494,659",61450,Generation X
Norway,2005,male,25-34 years,73,316562,23.06,Norway2005,0.931,"308,722,079,938",71215,Generation X
Norway,2005,female,25-34 years,33,311116,10.61,Norway2005,0.931,"308,722,079,938",71215,Generation X
Norway,2006,male,25-34 years,63,312881,20.14,Norway2006,,"345,424,664,369",79007,Generation X
Norway,2006,female,25-34 years,21,307388,6.83,Norway2006,,"345,424,664,369",79007,Generation X
Norway,2007,male,25-34 years,60,312302,,Norway2007,,"401,082,621,083",90797,Generation X
Norway,2007,female,25-34 years,21,305124,6.88,Norway2007,,"401,082,621,083",90797,Generation X
Norway,2008,male,25-34 years,59,314848,18.74,Norway2008,,"462,554,432,624",103431,Generation X
Norway,2008,female,25-34 years,27,305368,8.84,Norway2008,,"462,554,432,624",103431,Generation X
Norway,2009,male,25-34 years,64,317068,20.18,Norway2009,,"386,622,457,580",85394,Generation X
Norway,2009,female,25-34 years,31,306776,10.11,Norway2009,,"386,622,457,580",85394,Generation X
Norway,2010,male,25-34 years,62,320142,,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2010,female,25-34 years,24,309282,7.76,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2011,male,25-34 years,73,326867,22.33,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,female,25-34 years,23,313943,7.33,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2012,male,25-34 years,61,336168,18.15,Norway2012,0.942,"510,229,136,227",108408,Millenials
Norway,2012,female,25-34 years,17,321049,5.3,Norway2012,0.942,"510,229,136,227",108408,Millenials
Norway,2013,male,25-34 years,56,345406,16.21,Norway2013,0.942,"523,502,127,660",109804,Millenials
Norway,2013,female,25-34 years,24,329495,7.28,Norway2013,0.942,"523,502,127,660",109804,Millenials
Norway,2014,male,25-34 years,71,353943,20.06,Norway2014,0.944,"499,338,534,779",103443,Millenials
Norway,2014,female,25-34 years,20,337592,5.92,Norway2014,0.944,"499,338,534,779",103443,Millenials
Norway,2015,male,25-34 years,64,361373,17.71,Norway2015,,"386,663,139,403",79187,Millenials
Norway,2015,female,25-34 years,31,344788,8.99,Norway2015,,"386,663,139,403",79187,Millenials
Sweden,2000,male,25-34 years,114,626512,18.2,Sweden2000,0.897,"259,802,012,617",30896,Generation X
Sweden,2000,female,25-34 years,30,601750,4.99,Sweden2000,0.897,"259,802,012,617",30896,Generation X
Sweden,2001,male,25-34 years,104,616460,16.87,Sweden2001,,"239,917,320,967",28429,Generation X
Sweden,2001,female,25-34 years,29,593553,4.89,Sweden2001,,"239,917,320,967",28429,Generation X
Sweden,2002,male,25-34 years,101,605900,16.67,Sweden2002,,"263,926,220,333",31175,Generation X
Sweden,2002,female,25-34 years,36,584302,6.16,Sweden2002,,"263,926,220,333",31175,Generation X
Sweden,2003,male,25-34 years,85,596698,14.25,Sweden2003,,"331,108,912,605",38997,Generation X
Sweden,2003,female,25-34 years,58,576009,10.07,Sweden2003,,"331,108,912,605",38997,Generation X
Sweden,2004,male,25-34 years,84,590802,14.22,Sweden2004,,"381,705,425,302",44831,Generation X
Sweden,2004,female,25-34 years,32,570904,5.61,Sweden2004,,"381,705,425,302",44831,Generation X
Sweden,2005,male,25-34 years,95,588142,16.15,Sweden2005,0.892,"389,042,298,377",45563,Generation X
Sweden,2005,female,25-34 years,40,568205,7.04,Sweden2005,0.892,"389,042,298,377",45563,Generation X
Sweden,2006,male,25-34 years,79,586595,13.47,Sweden2006,,"420,032,121,656",48977,Generation X
Sweden,2006,female,25-34 years,41,565463,7.25,Sweden2006,,"420,032,121,656",48977,Generation X
Sweden,2007,male,25-34 years,103,585980,17.58,Sweden2007,,"487,816,328,342",56531,Generation X
Sweden,2007,female,25-34 years,28,562738,4.98,Sweden2007,,"487,816,328,342",56531,Generation X
Sweden,2008,male,25-34 years,96,586538,16.37,Sweden2008,,"513,965,650,650",59155,Generation X
Sweden,2008,female,25-34 years,42,561352,7.48,Sweden2008,,"513,965,650,650",59155,Generation X
Sweden,2009,male,25-34 years,111,588185,18.87,Sweden2009,,"429,657,033,108",49070,Generation X
Sweden,2009,female,25-34 years,33,561793,5.87,Sweden2009,,"429,657,033,108",49070,Generation X
Sweden,2010,male,25-34 years,106,593020,17.87,Sweden2010,0.901,"488,377,689,565",55352,Generation X
Sweden,2010,female,25-34 years,31,564791,5.49,Sweden2010,0.901,"488,377,689,565",55352,Generation X
Sweden,2011,male,25-34 years,107,600789,17.81,Sweden2011,0.903,"563,109,663,291",63380,Millenials
Sweden,2011,female,25-34 years,46,571231,8.05,Sweden2011,0.903,"563,109,663,291",63380,Millenials
Sweden,2012,male,25-34 years,113,609527,18.54,Sweden2012,0.904,"543,880,647,757",60776,Millenials
Sweden,2012,female,25-34 years,27,580871,4.65,Sweden2012,0.904,"543,880,647,757",60776,Millenials
Sweden,2013,male,25-34 years,111,62,17.85,Sweden2013,0.905,"578,742,001,488",64133,Millenials
Sweden,2013,female,25-34 years,46,593992,7.74,Sweden2013,0.905,"578,742,001,488",64133,Millenials
Sweden,2014,male,25-34 years,114,638657,17.85,Sweden2014,0.907,"5,738,177",62956,Millenials
Sweden,2014,female,25-34 years,42,609532,6.89,Sweden2014,0.907,"5,738,177",62956,Millenials
Sweden,2015,male,25-34 years,108,638657,16.91,Sweden2015,,"497,918,109,302",54629,Millenials
Sweden,2015,female,25-34 years,48,609532,7.87,Sweden2015,,"497,918,109,302",54629,Millenials
Sweden,2016,male,25-34 years,114,670158,17.01,Sweden2016,,"514,459,972,806",55594,Millenials
Sweden,2016,female,25-34 years,44,641572,6.86,Sweden2016,,"514,459,972,806",55594,Millenials
Switzerland,2000,male,25-34 years,147,530378,27.72,Switzerland2000,0.888,"272,055,499,941",39952,Generation X
Switzerland,2000,female,25-34 years,47,537823,8.74,Switzerland2000,0.888,"272,055,499,941",39952,Generation X
Switzerland,2001,male,25-34 years,101,5,,Switzerland2001,,"278,631,271,391",40582,Generation X
Switzerland,2001,female,25-34 years,35,527458,6.64,Switzerland2001,,"278,631,271,391",40582,Generation X
Switzerland,2002,male,25-34 years,140,508396,27.54,Switzerland2002,,"301,416,810,214",434,Generation X
Switzerland,2002,female,25-34 years,31,514628,6.02,Switzerland2002,,"301,416,810,214",434,Generation X
Switzerland,2003,male,25-34 years,85,504671,16.84,Switzerland2003,,"352,914,820,747",50639,Generation X
Switzerland,2003,female,25-34 years,28,511185,5.48,Switzerland2003,,"352,914,820,747",50639,Generation X
Switzerland,2004,male,25-34 years,86,498009,17.27,Switzerland2004,,"394,163,688,621",56123,Generation X
Switzerland,2004,female,25-34 years,34,504589,6.74,Switzerland2004,,"394,163,688,621",56123,Generation X
Switzerland,2005,male,25-34 years,90,493144,18.25,Switzerland2005,0.904,"408,689,353,999",57790,Generation X
Switzerland,2005,female,25-34 years,40,499595,8.01,Switzerland2005,0.904,"408,689,353,999",57790,Generation X
Switzerland,2006,male,25-34 years,95,490111,,Switzerland2006,,"430,921",60536,Generation X
Switzerland,2006,female,25-34 years,34,496129,6.85,Switzerland2006,,"430,921",60536,Generation X
Switzerland,2007,male,25-34 years,80,4930,16.23,Switzerland2007,,"479,913,034,322",66807,Generation X
Switzerland,2007,female,25-34 years,32,497366,6.43,Switzerland2007,,"479,913,034,322",66807,Generation X
Switzerland,2008,male,25-34 years,79,502793,15.71,Switzerland2008,,"554,363,487,120",76202,Generation X
Switzerland,2008,female,25-34 years,35,504566,6.94,Switzerland2008,,"554,363,487,120",76202,Generation X
Switzerland,2009,male,25-34 years,72,512293,14.05,Switzerland2009,,"541,506,500,414",73529,Generation X
Switzerland,2009,female,25-34 years,25,512791,4.88,Switzerland2009,,"541,506,500,414",73529,Generation X
Switzerland,2010,male,25-34 years,74,5,14.25,Switzerland2010,0.924,"583,782,977,866",78474,Generation X
Switzerland,2010,female,25-34 years,32,5,6.16,Switzerland2010,0.924,"583,782,977,866",78474,Generation X
Switzerland,2011,male,25-34 years,81,537091,15.08,Switzerland2011,0.925,"699,579,638,638",93053,Millenials
Switzerland,2011,female,25-34 years,25,528301,4.73,Switzerland2011,0.925,"699,579,638,638",93053,Millenials
Switzerland,2012,male,25-34 years,66,546564,12.08,Switzerland2012,0.927,"668,043,614,123",87951,Millenials
Switzerland,2012,female,25-34 years,29,536457,5.41,Switzerland2012,0.927,"668,043,614,123",87951,Millenials
Switzerland,2013,male,25-34 years,78,556884,14.01,Switzerland2013,0.928,"688,504,173,431",89634,Millenials
Switzerland,2013,female,25-34 years,21,545796,3.85,Switzerland2013,0.928,"688,504,173,431",89634,Millenials
Switzerland,2014,male,25-34 years,68,572530,11.88,Switzerland2014,0.93,"709,182,559,935",90809,Millenials
Switzerland,2014,female,25-34 years,30,565099,5.31,Switzerland2014,0.93,"709,182,559,935",90809,Millenials
Switzerland,2015,male,25-34 years,80,586880,13.63,Switzerland2015,,"679,289,166,858",86068,Millenials
Switzerland,2015,female,25-34 years,24,577973,4.15,Switzerland2015,,"679,289,166,858",86068,Millenials
Australia,2000,male,35-54 years,745,2769752,26.9,Australia2000,0.898,"415,034,227,218",232,Boomers
Australia,2000,female,35-54 years,200,2782583,7,Australia2000,0.898,"415,034,227,218",232,Boomers
Australia,2001,male,35-54 years,752,2803465,26.82,Australia2001,,"378,215,090,694",20860,Boomers
Australia,2001,female,35-54 years,226,2827367,7.99,Australia2001,,"378,215,090,694",20860,Boomers
Australia,2002,male,35-54 years,744,2820596,26.38,Australia2002,,"394,486,709,920",21474,Boomers
Australia,2002,female,35-54 years,213,2845525,7.49,Australia2002,,"394,486,709,920",21474,Boomers
Australia,2003,male,35-54 years,654,2840522,23.02,Australia2003,,"466,294,700,058",25059,Boomers
Australia,2003,female,35-54 years,,2868971,6.8,Australia2003,,"466,294,700,058",25059,Boomers
Australia,2004,male,35-54 years,655,2868425,22.83,Australia2004,,61,32454,Boomers
Australia,2004,female,35-54 years,183,2902618,6.3,Australia2004,,61,32454,Boomers
Australia,2006,male,35-54 years,686,2894571,23.7,Australia2006,,"745,521,862,833",39014,Boomers
Australia,2006,female,35-54 years,,2934459,6.65,Australia2006,,"745,521,862,833",39014,Boomers
Australia,2007,male,35-54 years,687,2977977,23.07,Australia2007,,85,43171,Boomers
Australia,2007,female,35-54 years,2,3025248,7.24,Australia2007,,85,43171,Boomers
Australia,2008,male,35-54 years,765,3015761,25.37,Australia2008,,"1,052,584,601,611",52315,Boomers
Australia,2008,female,35-54 years,231,3066609,7.53,Australia2008,,"1,052,584,601,611",52315,Boomers
Australia,2009,male,35-54 years,755,3051649,24.74,Australia2009,,"926,448,240,318",45128,Boomers
Australia,2009,female,35-54 years,221,3104929,7.12,Australia2009,,"926,448,240,318",45128,Boomers
Australia,2010,male,35-54 years,816,3076853,26.52,Australia2010,0.927,"1,144,260,547,873",54887,Generation X
Australia,2010,female,35-54 years,228,3132534,7.28,Australia2010,0.927,"1,144,260,547,873",54887,Generation X
Australia,2011,male,35-54 years,704,3072726,22.91,Australia2011,0.93,"1,394,280,784,778",66770,Generation X
Australia,2011,female,35-54 years,230,3124328,7.36,Australia2011,0.93,"1,394,280,784,778",66770,Generation X
Australia,2012,male,35-54 years,802,3098534,25.88,Australia2012,0.932,"1,543,411,012,580",72669,Generation X
Australia,2012,female,35-54 years,258,3149749,8,Australia2012,0.932,"1,543,411,012,580",72669,Generation X
Australia,2013,male,35-54 years,754,3118829,24.18,Australia2013,0.933,"1,573,696,522,007",72856,Generation X
Australia,2013,female,35-54 years,275,3171477,8.67,Australia2013,0.933,"1,573,696,522,007",72856,Generation X
Australia,2014,male,35-54 years,866,3130341,27.66,Australia2014,0.935,"1,464,955,475,994",66809,Generation X
Australia,2014,female,35-54 years,277,3189475,8.68,Australia2014,0.935,"1,464,955,475,994",66809,Generation X
Australia,2015,male,35-54 years,944,3149299,29.97,Australia2015,,"1,349,034,029,453",60656,Generation X
Australia,2015,female,35-54 years,294,3203643,9.18,Australia2015,,"1,349,034,029,453",60656,Generation X
Canada,2000,male,35-54 years,1254,4840239,25.91,Canada2000,0.867,"742,293,448,253",25589,Boomers
Canada,2000,female,35-54 years,393,4830067,8.14,Canada2000,0.867,"742,293,448,253",25589,Boomers
Canada,2001,male,35-54 years,1347,4892041,27.53,Canada2001,,"736,379,777,893",25165,Boomers
Canada,2001,female,35-54 years,392,4894497,8.01,Canada2001,,"736,379,777,893",25165,Boomers
Canada,2002,male,35-54 years,1292,4926984,26.22,Canada2002,,"757,950,678,647",25570,Boomers
Canada,2002,female,35-54 years,370,4929966,7.51,Canada2002,,"757,950,678,647",25570,Boomers
Canada,2003,male,35-54 years,1317,4950960,26.6,Canada2003,,"892,380,986,368",29787,Boomers
Canada,2003,female,35-54 years,438,4956221,8.84,Canada2003,,"892,380,986,368",29787,Boomers
Canada,2004,male,35-54 years,1210,4982932,24.28,Canada2004,,"1,023",33787,Boomers
Canada,2004,female,35-54 years,428,4986017,8.58,Canada2004,,"1,023",33787,Boomers
Canada,2005,male,35-54 years,1341,5018957,26.72,Canada2005,0.892,"1,169,357,979,865",38218,Boomers
Canada,2005,female,35-54 years,418,5018764,8.33,Canada2005,0.892,"1,169,357,979,865",38218,Boomers
Canada,2006,male,35-54 years,1202,5050497,23.8,Canada2006,,"1,315,415",42566,Boomers
Canada,2006,female,35-54 years,362,5021174,7.21,Canada2006,,"1,315,415",42566,Boomers
Canada,2007,male,35-54 years,1224,5064536,24.17,Canada2007,,"1,464,977",46890,Boomers
Canada,2007,female,35-54 years,400,5030803,7.95,Canada2007,,"1,464,977",46890,Boomers
Canada,2008,male,35-54 years,1241,5076969,24.44,Canada2008,,"1,549,131,208,997",49041,Boomers
Canada,2008,female,35-54 years,413,5038500,8.2,Canada2008,,"1,549,131,208,997",49041,Boomers
Canada,2009,male,35-54 years,1328,5085328,26.11,Canada2009,,"1,371,153,004,986",42933,Boomers
Canada,2009,female,35-54 years,402,5043261,7.97,Canada2009,,"1,371,153,004,986",42933,Boomers
Canada,2010,male,35-54 years,1292,5088099,25.39,Canada2010,0.903,"1,613,464,422,811",49974,Generation X
Canada,2010,female,35-54 years,402,5044926,7.97,Canada2010,0.903,"1,613,464,422,811",49974,Generation X
Canada,2011,male,35-54 years,1127,5074280,22.21,Canada2011,0.909,"1,788,647,906,048",54841,Generation X
Canada,2011,female,35-54 years,390,5032043,7.75,Canada2011,0.909,"1,788,647,906,048",54841,Generation X
Canada,2012,male,35-54 years,1205,5056024,23.83,Canada2012,0.91,"1,824,288,757,448",55347,Generation X
Canada,2012,female,35-54 years,385,5018897,7.67,Canada2012,0.91,"1,824,288,757,448",55347,Generation X
Canada,2013,male,35-54 years,1244,5032714,24.72,Canada2013,0.912,"1,842,628,005,830",55310,Generation X
Canada,2013,female,35-54 years,400,5003771,7.99,Canada2013,0.912,"1,842,628,005,830",55310,Generation X
Denmark,2000,male,35-54 years,218,783883,27.81,Denmark2000,0.862,"164,158,800,460",32841,Boomers
Denmark,2000,female,35-54 years,74,760859,9.73,Denmark2000,0.862,"164,158,800,460",32841,Boomers
Denmark,2001,male,35-54 years,204,783604,26.03,Denmark2001,,"164,791,416,350",32837,Boomers
Denmark,2001,female,35-54 years,73,761705,9.58,Denmark2001,,"164,791,416,350",32837,Boomers
Denmark,2002,male,35-54 years,182,784825,23,Denmark2002,,"178,635,160,297",35435,Boomers
Denmark,2002,female,35-54 years,63,762841,8.26,Denmark2002,,"178,635,160,297",35435,Boomers
Denmark,2003,male,35-54 years,206,784047,26.27,Denmark2003,,"218,095,997,085",43129,Boomers
Denmark,2003,female,35-54 years,43,763110,5.63,Denmark2003,,"218,095,997,085",43129,Boomers
Denmark,2004,male,35-54 years,180,782832,22.99,Denmark2004,,"251,373,036,671",49552,Boomers
Denmark,2004,female,35-54 years,71,762293,9.31,Denmark2004,,"251,373,036,671",49552,Boomers
Denmark,2005,male,35-54 years,158,781448,20.22,Denmark2005,0.902,"264,467,308,109",5,Boomers
Denmark,2005,female,35-54 years,58,762175,7.61,Denmark2005,0.902,"264,467,308,109",5,Boomers
Denmark,2006,male,35-54 years,161,782816,20.57,Denmark2006,,"282,884,912,894",55354,Boomers
Denmark,2006,female,35-54 years,57,763418,7.47,Denmark2006,,"282,884,912,894",55354,Boomers
Denmark,2007,male,35-54 years,145,786990,18.42,Denmark2007,,3,62229,Boomers
Denmark,2007,female,35-54 years,71,768072,9.24,Denmark2007,,3,62229,Boomers
Denmark,2008,male,35-54 years,150,788890,,Denmark2008,,"353,361,056,080",68447,Boomers
Denmark,2008,female,35-54 years,76,770688,9.86,Denmark2008,,"353,361,056,080",68447,Boomers
Denmark,2009,male,35-54 years,186,790578,23.53,Denmark2009,,"321,241,396,034",61863,Boomers
Denmark,2009,female,35-54 years,43,773415,5.56,Denmark2009,,"321,241,396,034",61863,Boomers
Denmark,2010,male,35-54 years,142,791338,17.94,Denmark2010,0.908,32,61711,Generation X
Denmark,2010,female,35-54 years,64,776699,8.24,Denmark2010,0.908,32,61711,Generation X
Denmark,2011,male,35-54 years,189,791137,23.89,Denmark2011,0.92,"344,003,209,696",65598,Generation X
Denmark,2011,female,35-54 years,50,778373,6.42,Denmark2011,0.92,"344,003,209,696",65598,Generation X
Denmark,2012,male,35-54 years,209,788215,26.52,Denmark2012,0.921,"327,148,899,962",62071,Generation X
Denmark,2012,female,35-54 years,58,7764,7.47,Denmark2012,0.921,"327,148,899,962",62071,Generation X
Denmark,2013,male,35-54 years,174,785,22.16,Denmark2013,0.923,"343,584,385,594",64831,Generation X
Denmark,2013,female,35-54 years,54,775088,6.97,Denmark2013,0.923,"343,584,385,594",64831,Generation X
Denmark,2014,male,35-54 years,178,784300,22.7,Denmark2014,0.923,"352,993,633,221",66114,Generation X
Denmark,2014,female,35-54 years,59,774379,7.62,Denmark2014,0.923,"352,993,633,221",66114,Generation X
Denmark,2015,male,35-54 years,159,783366,20.3,Denmark2015,,"301,298,464,861",55972,Generation X
Denmark,2015,female,35-54 years,51,772844,6.6,Denmark2015,,"301,298,464,861",55972,Generation X
Finland,2000,male,35-54 years,402,806796,49.83,Finland2000,0.857,"125,539,893,127",25716,Boomers
Finland,2000,female,35-54 years,122,785167,15.54,Finland2000,0.857,"125,539,893,127",25716,Boomers
Finland,2001,male,35-54 years,429,800866,53.57,Finland2001,,"129,250,111,857",26383,Boomers
Finland,2001,female,35-54 years,130,780440,16.66,Finland2001,,"129,250,111,857",26383,Boomers
Finland,2002,male,35-54 years,339,792737,42.76,Finland2002,,"139,552,983,249",28390,Boomers
Finland,2002,female,35-54 years,125,773011,16.17,Finland2002,,"139,552,983,249",28390,Boomers
Finland,2003,male,35-54 years,376,783442,47.99,Finland2003,,"171,071,106,095",34701,Boomers
Finland,2003,female,35-54 years,112,764626,14.65,Finland2003,,"171,071,106,095",34701,Boomers
Finland,2004,male,35-54 years,310,772775,40.12,Finland2004,,,39793,Boomers
Finland,2004,female,35-54 years,116,755108,15.36,Finland2004,,,39793,Boomers
Finland,2005,male,35-54 years,299,76,39.24,Finland2005,0.869,"204,436,015,421",41202,Boomers
Finland,2005,female,35-54 years,109,745397,14.62,Finland2005,0.869,"204,436,015,421",41202,Boomers
Finland,2006,male,35-54 years,310,752178,41.21,Finland2006,,"216,552,502,823",43487,Boomers
Finland,2006,female,35-54 years,104,736648,14.12,Finland2006,,"216,552,502,823",43487,Boomers
Finland,2007,male,35-54 years,297,742406,40.01,Finland2007,,"255,384,615,385",51089,Boomers
Finland,2007,female,35-54 years,89,727224,12.24,Finland2007,,"255,384,615,385",51089,Boomers
